snapshot_utc,snapshot_server,label,section,key,value,unit,notes
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.05000000_effective_leverage_proxy,491.9421,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.05000000_hmr_margin_proxy,0.4673,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.10000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.10000000_live_margin,0.3700,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.10000000_pct_reference_equity,0.0370,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.10000000_notional_proxy,186.9380,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.10000000_effective_leverage_proxy,505.2378,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.10000000_hmr_margin_proxy,0.9347,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.01000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.01000000_live_margin,0.0400,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.01000000_pct_reference_equity,0.0040,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.01000000_notional_proxy,18.6840,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.01000000_effective_leverage_proxy,467.1000,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.01000000_hmr_margin_proxy,0.0934,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.02000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.02000000_live_margin,0.0700,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.02000000_pct_reference_equity,0.0070,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.02000000_notional_proxy,37.3680,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.02000000_effective_leverage_proxy,533.8286,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.02000000_hmr_margin_proxy,0.1868,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.05000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.05000000_live_margin,0.1900,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.05000000_pct_reference_equity,0.0190,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.05000000_notional_proxy,93.4200,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.05000000_effective_leverage_proxy,491.6842,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.05000000_hmr_margin_proxy,0.4671,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
